person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
59,male,Associate,117847,7,MORTGAGE,17135,HOMEIMPROVEMENT,13.63,0.15,21,491,No,0
58,female,Bachelor,65545,20,RENT,18407,VENTURE,8.07,0.28,22,603,No,0
41,male,High School,132136,19,MORTGAGE,7552,PERSONAL,12.95,0.06,18,585,Yes,0
43,male,Associate,108869,9,RENT,29716,HOMEIMPROVEMENT,14.94,0.27,21,784,Yes,0
56,female,High School,47203,16,RENT,8014,BUSINESS,13.14,0.17,10,594,Yes,0
42,male,Bachelor,144489,15,OWN,4329,PERSONAL,14.11,0.03,10,472,Yes,0
42,male,Bachelor,54357,23,OWN,37154,BUSINESS,11.63,0.68,2,507,Yes,0
30,male,Bachelor,164701,8,RENT,29166,EDUCATION,7.0,0.18,13,470,No,0
34,male,High School,104714,13,MORTGAGE,11128,EDUCATION,16.88,0.11,7,661,Yes,0
32,female,Master,77055,4,RENT,46958,PERSONAL,11.09,0.61,3,690,Yes,0
33,female,Bachelor,92003,7,RENT,2550,BUSINESS,8.82,0.03,12,592,Yes,0
38,female,Doctorate,116773,17,OWN,2808,PERSONAL,17.02,0.02,10,541,No,0
23,male,Doctorate,125918,2,MORTGAGE,21557,VENTURE,13.77,0.17,18,509,No,0
57,male,Bachelor,23635,27,RENT,35073,HOMEIMPROVEMENT,14.74,1.0,25,827,Yes,0
44,female,High School,98559,19,OWN,44475,PERSONAL,15.14,0.45,11,709,No,0
47,female,Master,89504,17,RENT,13572,VENTURE,14.48,0.15,14,796,Yes,0
60,female,Master,155638,0,OWN,19803,EDUCATION,11.66,0.13,20,760,No,1
50,female,Master,68020,32,OWN,49231,EDUCATION,14.41,0.72,11,713,No,0
26,male,Bachelor,70888,3,RENT,2600,PERSONAL,9.44,0.04,17,762,Yes,0
50,female,Doctorate,62970,24,OWN,27191,EDUCATION,8.27,0.43,24,452,Yes,0
48,male,Associate,147779,14,RENT,37530,EDUCATION,17.51,0.25,5,683,Yes,0
50,female,Master,172603,32,OWN,36905,VENTURE,17.27,0.21,25,693,No,1
37,male,Bachelor,148655,15,MORTGAGE,16679,MEDICAL,11.78,0.11,24,596,Yes,0
38,female,Bachelor,153597,2,RENT,10884,EDUCATION,11.1,0.07,6,811,Yes,0
25,female,Master,98738,7,OWN,5080,EDUCATION,16.49,0.05,14,844,Yes,0
57,female,Master,13545,22,OWN,26558,VENTURE,12.96,1.0,25,729,Yes,0
52,male,Bachelor,126251,31,RENT,26484,MEDICAL,14.53,0.21,14,820,Yes,0
50,male,Doctorate,152017,1,OWN,39790,HOMEIMPROVEMENT,14.46,0.26,4,779,No,1
29,female,Associate,25181,4,OWN,22453,EDUCATION,11.96,0.89,12,839,No,0
38,female,Bachelor,33471,15,RENT,36351,PERSONAL,18.5,1.0,13,564,Yes,0
23,male,Associate,64261,0,MORTGAGE,10986,EDUCATION,8.01,0.17,23,508,Yes,0
50,female,Bachelor,55984,7,RENT,21384,PERSONAL,13.44,0.38,11,744,No,1
46,male,High School,167214,22,MORTGAGE,16915,PERSONAL,14.87,0.1,11,800,Yes,0
57,male,Bachelor,151655,27,MORTGAGE,25285,PERSONAL,12.57,0.17,12,456,No,0
52,male,Master,106945,29,MORTGAGE,11026,VENTURE,8.61,0.1,18,783,No,1
60,female,Master,126183,37,OWN,22122,EDUCATION,16.47,0.18,4,592,No,0
36,female,Doctorate,171994,12,OWN,2880,VENTURE,16.71,0.02,7,699,Yes,0
43,female,Bachelor,85310,19,MORTGAGE,19105,HOMEIMPROVEMENT,6.62,0.22,8,493,Yes,0
47,female,Doctorate,74999,22,OWN,43329,BUSINESS,12.39,0.58,2,497,No,0
35,female,Associate,92270,11,OWN,37272,HOMEIMPROVEMENT,10.63,0.4,25,731,No,1
43,female,Bachelor,92379,8,RENT,8907,BUSINESS,8.81,0.1,5,830,Yes,0
33,male,Master,84482,9,RENT,13721,MEDICAL,9.23,0.16,7,604,Yes,0
55,male,Bachelor,23931,3,MORTGAGE,20145,BUSINESS,17.83,0.84,22,835,No,0
27,male,Doctorate,86537,7,OWN,29866,MEDICAL,8.71,0.35,3,579,No,0
28,male,Master,140908,1,MORTGAGE,42251,BUSINESS,7.14,0.3,6,738,No,1
26,male,High School,158295,6,MORTGAGE,40067,HOMEIMPROVEMENT,9.21,0.25,18,644,No,1
49,female,Doctorate,124415,19,MORTGAGE,41699,PERSONAL,13.82,0.34,25,500,Yes,0
34,female,High School,53171,7,RENT,37175,PERSONAL,8.38,0.7,15,680,No,0
39,male,Associate,87524,9,MORTGAGE,30755,PERSONAL,14.75,0.35,10,770,Yes,0
48,male,Doctorate,70932,20,RENT,18408,EDUCATION,7.36,0.26,7,607,No,0
49,male,Master,91715,25,OWN,33798,HOMEIMPROVEMENT,12.43,0.37,4,756,Yes,0
48,female,Doctorate,77632,0,RENT,16002,BUSINESS,16.53,0.21,20,750,Yes,0
38,male,Associate,135338,16,MORTGAGE,29981,MEDICAL,8.68,0.22,20,673,No,1
26,female,Bachelor,119046,5,OWN,44917,PERSONAL,16.79,0.38,12,660,No,1
39,female,Doctorate,21619,14,RENT,21612,MEDICAL,10.38,1.0,14,713,Yes,0
55,female,Master,26209,12,MORTGAGE,24709,HOMEIMPROVEMENT,15.58,0.94,22,676,Yes,0
34,female,Doctorate,46344,9,OWN,46760,VENTURE,7.96,1.0,22,761,Yes,0
31,female,Doctorate,15584,8,OWN,7108,EDUCATION,18.41,0.46,5,686,Yes,0
30,female,Bachelor,145397,11,OWN,28229,VENTURE,18.26,0.19,9,683,Yes,0
45,male,Doctorate,145232,23,RENT,5575,MEDICAL,15.77,0.04,15,624,No,0
21,female,Bachelor,165862,3,RENT,30264,HOMEIMPROVEMENT,12.31,0.18,12,732,No,1
50,female,Associate,74601,24,RENT,27920,PERSONAL,10.32,0.37,17,811,No,1
45,male,Master,21704,4,MORTGAGE,39678,MEDICAL,16.94,1.0,16,501,No,0
21,male,Master,52464,0,OWN,18368,MEDICAL,13.98,0.35,14,782,Yes,0
42,female,Bachelor,176311,22,OWN,36456,PERSONAL,13.91,0.21,9,773,No,1
35,male,Master,37806,3,OWN,11902,BUSINESS,10.09,0.31,2,473,No,0
24,female,Bachelor,110262,3,RENT,17003,HOMEIMPROVEMENT,11.44,0.15,23,542,Yes,0
32,male,Doctorate,112281,9,MORTGAGE,16783,VENTURE,17.45,0.15,6,568,No,0
37,female,Bachelor,14463,14,OWN,45407,HOMEIMPROVEMENT,8.4,1.0,16,626,No,0
48,female,Master,91199,6,OWN,32667,PERSONAL,9.35,0.36,20,633,No,0
39,male,Master,83953,0,MORTGAGE,45944,BUSINESS,18.18,0.55,21,831,No,0
39,male,Doctorate,104358,7,MORTGAGE,13460,HOMEIMPROVEMENT,9.51,0.13,25,842,Yes,0
27,male,Bachelor,127559,0,MORTGAGE,24911,BUSINESS,8.08,0.2,11,617,No,0
32,male,Associate,153402,14,OWN,35789,HOMEIMPROVEMENT,17.46,0.23,7,581,No,0
39,female,High School,134770,2,RENT,15785,BUSINESS,15.19,0.12,14,735,No,1
26,female,High School,81326,8,RENT,30804,MEDICAL,14.57,0.38,23,584,No,0
44,male,Associate,135594,0,MORTGAGE,37792,MEDICAL,17.48,0.28,9,781,Yes,0
50,female,Master,42585,8,RENT,3438,MEDICAL,18.45,0.08,5,499,Yes,0
55,male,Master,130919,23,MORTGAGE,49702,BUSINESS,17.85,0.38,15,750,Yes,0
47,male,Master,173389,13,OWN,3144,BUSINESS,10.95,0.02,16,677,Yes,0
44,male,Bachelor,154728,20,OWN,4968,VENTURE,9.81,0.03,5,682,Yes,0
34,male,High School,99427,7,RENT,38000,EDUCATION,7.32,0.38,19,556,Yes,0
35,female,Associate,168233,0,OWN,10482,EDUCATION,12.98,0.06,7,506,Yes,0
29,male,Bachelor,74372,9,OWN,2034,EDUCATION,9.68,0.03,6,829,No,1
54,male,High School,136845,28,OWN,34635,HOMEIMPROVEMENT,7.81,0.25,18,563,Yes,0
54,female,Master,20165,3,OWN,27320,VENTURE,14.73,1.0,17,814,No,0
25,male,Bachelor,171461,2,RENT,9270,MEDICAL,13.99,0.05,20,730,No,1
45,female,Master,144527,19,OWN,7499,BUSINESS,7.87,0.05,22,783,Yes,0
48,female,Associate,120478,10,OWN,27131,VENTURE,15.26,0.23,12,668,No,1
37,female,Associate,136326,2,RENT,6594,PERSONAL,11.68,0.05,25,828,No,1
29,male,Doctorate,159216,8,OWN,44909,PERSONAL,11.43,0.28,23,834,No,1
24,female,Doctorate,93906,2,RENT,38874,HOMEIMPROVEMENT,9.05,0.41,23,696,Yes,0
27,female,Doctorate,108353,1,OWN,38624,EDUCATION,16.19,0.36,19,842,Yes,0
59,female,High School,59294,17,MORTGAGE,21249,MEDICAL,10.71,0.36,7,523,No,0
25,male,High School,36053,3,OWN,28514,VENTURE,10.59,0.79,13,609,No,0
57,male,High School,52784,10,MORTGAGE,4261,BUSINESS,7.48,0.08,16,788,No,1
52,female,Master,83609,13,MORTGAGE,8459,MEDICAL,11.66,0.1,11,797,No,1
54,female,High School,69807,25,MORTGAGE,4590,PERSONAL,8.95,0.07,8,842,Yes,0
37,female,Bachelor,43453,0,OWN,49956,VENTURE,8.61,1.0,14,722,Yes,0
53,female,High School,116089,2,OWN,2228,VENTURE,17.55,0.02,12,744,No,1
57,female,Master,87894,7,OWN,2366,MEDICAL,8.56,0.03,21,685,No,1
26,female,High School,75783,6,MORTGAGE,27243,HOMEIMPROVEMENT,7.44,0.36,11,831,No,1
35,female,Associate,32022,16,MORTGAGE,8472,HOMEIMPROVEMENT,12.62,0.26,13,629,Yes,0
36,male,Associate,79100,6,RENT,40478,EDUCATION,15.62,0.51,22,488,Yes,0
52,female,Doctorate,163904,28,MORTGAGE,37994,BUSINESS,14.12,0.23,21,615,No,0
30,female,High School,134924,7,MORTGAGE,20845,MEDICAL,13.6,0.15,13,709,Yes,0
40,female,Master,21858,1,OWN,19813,PERSONAL,14.24,0.91,4,764,No,0
50,male,Master,161856,12,OWN,40649,VENTURE,12.52,0.25,3,680,Yes,0
42,male,Doctorate,57235,1,RENT,47374,VENTURE,18.39,0.83,18,717,Yes,0
44,female,Bachelor,113558,13,OWN,45492,HOMEIMPROVEMENT,7.13,0.4,22,781,No,1
25,female,High School,158266,6,OWN,17514,BUSINESS,16.72,0.11,21,526,No,0
26,male,Bachelor,93325,6,RENT,39996,BUSINESS,17.76,0.43,11,736,No,1
42,male,Doctorate,36498,20,MORTGAGE,28748,HOMEIMPROVEMENT,10.84,0.79,13,608,Yes,0
34,female,Master,62333,7,RENT,11154,PERSONAL,10.05,0.18,5,709,Yes,0
42,male,Doctorate,110754,4,RENT,12851,BUSINESS,15.75,0.12,7,819,No,1
23,female,Bachelor,74267,3,MORTGAGE,19673,BUSINESS,15.91,0.26,9,723,Yes,0
40,female,Associate,108427,21,MORTGAGE,29874,VENTURE,15.73,0.28,14,707,No,1
31,male,Doctorate,48280,13,OWN,4419,BUSINESS,12.27,0.09,13,733,Yes,0
54,male,Bachelor,33987,10,OWN,30446,HOMEIMPROVEMENT,8.27,0.9,15,496,Yes,0
49,female,High School,120762,3,OWN,33899,MEDICAL,9.33,0.28,4,641,Yes,0
22,female,High School,99894,1,RENT,3510,MEDICAL,17.51,0.04,17,806,Yes,0
51,female,Doctorate,13376,5,RENT,17772,EDUCATION,16.52,1.0,19,822,No,0
28,female,Associate,90944,1,RENT,16626,VENTURE,14.17,0.18,21,684,Yes,0
28,female,Doctorate,152523,0,MORTGAGE,34775,HOMEIMPROVEMENT,9.4,0.23,6,599,No,0
21,female,Associate,161596,3,RENT,44540,BUSINESS,7.53,0.28,13,484,Yes,0
45,female,High School,178637,12,OWN,17623,BUSINESS,6.69,0.1,4,626,Yes,0
27,female,Associate,23622,5,MORTGAGE,23187,BUSINESS,8.6,0.98,23,687,No,0
32,male,High School,131977,0,OWN,14211,PERSONAL,15.99,0.11,3,611,No,0
53,female,Doctorate,136098,16,RENT,43395,EDUCATION,9.93,0.32,3,785,No,1
38,male,Bachelor,126544,12,MORTGAGE,29818,VENTURE,10.57,0.24,7,704,No,1
44,female,High School,123280,2,OWN,40482,EDUCATION,13.05,0.33,12,502,Yes,0
41,female,Bachelor,128894,19,MORTGAGE,28925,EDUCATION,14.78,0.22,13,678,Yes,0
43,female,Bachelor,179633,25,RENT,5917,BUSINESS,14.15,0.03,13,712,Yes,0
22,male,Doctorate,126864,0,RENT,5406,EDUCATION,15.84,0.04,13,635,No,0
57,male,Doctorate,52222,28,OWN,25380,VENTURE,15.66,0.49,20,520,No,0
46,female,Bachelor,77434,3,RENT,49213,EDUCATION,12.49,0.64,14,737,Yes,0
37,female,Master,68248,19,OWN,46480,VENTURE,8.9,0.68,6,487,No,0
32,female,High School,95778,10,OWN,47500,PERSONAL,13.1,0.5,11,603,Yes,0
32,female,Doctorate,70783,1,RENT,10101,EDUCATION,15.98,0.14,2,634,No,0
50,male,Doctorate,34600,4,OWN,27093,BUSINESS,15.13,0.78,18,660,No,0
57,male,Associate,95106,4,OWN,31528,BUSINESS,12.71,0.33,6,849,Yes,0
29,female,Doctorate,26526,1,MORTGAGE,11028,MEDICAL,8.48,0.42,12,813,Yes,0
43,female,High School,77694,6,MORTGAGE,37099,MEDICAL,8.0,0.48,11,764,Yes,0
53,male,Doctorate,164212,9,RENT,44170,HOMEIMPROVEMENT,15.15,0.27,21,622,Yes,0
22,male,High School,163197,2,MORTGAGE,14815,HOMEIMPROVEMENT,11.5,0.09,22,465,No,0
55,female,Bachelor,138601,15,MORTGAGE,27613,MEDICAL,11.94,0.2,24,480,Yes,0
49,female,Master,133750,13,OWN,40758,EDUCATION,10.25,0.3,24,613,No,0
46,male,Bachelor,146998,17,RENT,21913,EDUCATION,12.1,0.15,10,680,Yes,0
30,male,High School,88077,6,MORTGAGE,28402,EDUCATION,18.05,0.32,7,617,No,0
33,male,Master,146932,14,OWN,21220,VENTURE,6.78,0.14,14,708,No,1
36,male,Doctorate,104509,1,RENT,19438,VENTURE,13.67,0.19,22,794,No,1
39,male,High School,124965,4,OWN,48677,MEDICAL,15.67,0.39,13,473,No,0
24,male,Bachelor,157024,2,RENT,26319,HOMEIMPROVEMENT,11.9,0.17,19,593,Yes,0
29,male,Master,109831,5,MORTGAGE,24960,EDUCATION,8.89,0.23,18,655,Yes,0
23,male,Associate,99304,3,MORTGAGE,30949,EDUCATION,13.78,0.31,18,521,No,0
60,female,Associate,115010,39,MORTGAGE,20610,HOMEIMPROVEMENT,10.54,0.18,18,722,No,1
57,female,Master,16361,23,OWN,45158,PERSONAL,18.26,1.0,20,607,Yes,0
59,female,Bachelor,163643,36,RENT,48277,PERSONAL,13.5,0.3,7,718,No,1
30,male,High School,162095,11,RENT,13503,PERSONAL,11.79,0.08,15,527,No,0
34,female,Doctorate,172295,15,MORTGAGE,48671,PERSONAL,14.97,0.28,18,556,No,0
51,female,Bachelor,57398,29,MORTGAGE,23434,HOMEIMPROVEMENT,10.75,0.41,25,798,No,1
60,female,Associate,76623,17,MORTGAGE,20562,EDUCATION,17.8,0.27,11,844,No,1
34,female,Bachelor,137777,11,MORTGAGE,48294,MEDICAL,9.95,0.35,20,796,No,1
46,female,Associate,88140,1,OWN,47801,PERSONAL,10.66,0.54,16,785,No,0
51,male,Associate,153184,17,MORTGAGE,46624,MEDICAL,8.15,0.3,21,829,Yes,0
36,male,Doctorate,71158,7,RENT,7566,VENTURE,10.46,0.11,17,501,Yes,0
21,male,Master,136701,3,MORTGAGE,14071,MEDICAL,10.35,0.1,22,480,Yes,0
57,male,Doctorate,21777,11,OWN,12520,PERSONAL,18.47,0.57,14,703,Yes,0
39,male,High School,90221,18,MORTGAGE,8032,MEDICAL,9.91,0.09,22,728,No,1
29,female,Bachelor,62544,1,OWN,11649,BUSINESS,12.01,0.19,10,817,Yes,0
21,female,Bachelor,160840,1,RENT,41039,BUSINESS,17.26,0.26,15,713,No,1
26,female,High School,60439,2,OWN,22207,EDUCATION,6.58,0.37,14,570,No,0
38,female,Bachelor,164688,18,RENT,18141,BUSINESS,10.81,0.11,9,481,Yes,0
50,female,Associate,118277,32,MORTGAGE,21380,BUSINESS,7.91,0.18,11,638,Yes,0
35,male,Master,52156,14,MORTGAGE,40697,MEDICAL,11.49,0.78,19,691,Yes,0
36,male,Doctorate,129112,16,MORTGAGE,24709,PERSONAL,17.51,0.19,5,481,Yes,0
57,male,Associate,98014,33,OWN,8617,BUSINESS,8.96,0.09,20,700,Yes,0
53,female,High School,130864,8,MORTGAGE,28225,VENTURE,13.27,0.22,19,686,No,1
22,female,Bachelor,12790,1,MORTGAGE,5786,PERSONAL,11.58,0.45,24,482,Yes,0
25,female,High School,87259,6,RENT,9875,BUSINESS,18.24,0.11,22,665,No,1
45,female,Master,110473,2,MORTGAGE,44371,HOMEIMPROVEMENT,8.1,0.4,13,510,Yes,0
55,female,Doctorate,45383,14,RENT,2489,MEDICAL,12.06,0.05,25,728,No,1
55,female,Associate,76883,29,OWN,11166,MEDICAL,8.76,0.15,25,841,Yes,0
23,female,Doctorate,16101,1,RENT,5409,PERSONAL,13.63,0.34,16,756,Yes,0
36,male,Master,127071,7,MORTGAGE,15238,PERSONAL,8.18,0.12,11,569,No,0
57,female,Associate,91105,9,MORTGAGE,35160,EDUCATION,11.46,0.39,10,481,Yes,0
48,female,High School,102286,30,MORTGAGE,44997,VENTURE,15.93,0.44,12,806,No,1
47,male,Bachelor,110686,5,MORTGAGE,32032,EDUCATION,16.69,0.29,11,812,Yes,0
50,male,Doctorate,120180,26,MORTGAGE,35733,EDUCATION,11.16,0.3,10,554,No,0
26,female,Bachelor,36238,8,MORTGAGE,13483,PERSONAL,9.72,0.37,23,759,Yes,0
25,male,Doctorate,158499,3,OWN,14689,MEDICAL,10.14,0.09,2,558,Yes,0
28,female,Associate,170440,3,OWN,16684,HOMEIMPROVEMENT,10.36,0.1,11,644,No,1
55,female,Bachelor,80566,23,MORTGAGE,33589,VENTURE,7.68,0.42,25,690,No,1
34,female,Bachelor,120509,1,MORTGAGE,15501,BUSINESS,8.25,0.13,10,733,No,1
39,male,Associate,98472,7,OWN,38341,EDUCATION,12.49,0.39,22,800,No,1
37,female,Master,132803,5,MORTGAGE,24080,EDUCATION,8.18,0.18,19,700,Yes,0
55,male,Doctorate,20866,4,MORTGAGE,4179,PERSONAL,11.45,0.2,22,568,Yes,0
30,male,Associate,144574,7,OWN,4961,HOMEIMPROVEMENT,14.15,0.03,21,697,No,1
22,male,Doctorate,156610,3,RENT,2096,HOMEIMPROVEMENT,15.17,0.01,19,596,Yes,0
53,female,Associate,40053,6,MORTGAGE,10758,EDUCATION,8.8,0.27,18,579,No,0
38,female,High School,109793,12,OWN,38027,EDUCATION,18.38,0.35,9,603,Yes,0
23,male,Master,111421,3,MORTGAGE,32195,PERSONAL,14.14,0.29,24,537,Yes,0
52,female,Bachelor,160335,6,MORTGAGE,3788,EDUCATION,9.04,0.02,24,740,No,1
38,male,High School,85498,17,MORTGAGE,44129,PERSONAL,8.65,0.52,12,458,Yes,0
58,male,Master,32168,19,RENT,37959,EDUCATION,13.3,1.0,14,796,No,0
45,male,High School,143279,23,OWN,4519,PERSONAL,11.75,0.03,4,624,No,0
41,male,Bachelor,130109,15,RENT,24318,HOMEIMPROVEMENT,17.79,0.19,15,545,No,0
26,female,Associate,31269,1,OWN,11107,VENTURE,15.04,0.36,22,528,No,0
41,female,High School,35991,0,OWN,30146,MEDICAL,15.64,0.84,5,517,Yes,0
32,female,Master,158010,8,MORTGAGE,27741,PERSONAL,6.82,0.18,13,733,Yes,0
59,female,Master,15235,18,OWN,26414,PERSONAL,15.2,1.0,19,574,Yes,0
45,male,Associate,82495,9,OWN,33317,EDUCATION,7.26,0.4,15,591,No,0
40,female,High School,106666,8,RENT,48244,BUSINESS,12.45,0.45,21,550,No,0
27,male,Bachelor,13774,6,OWN,41644,VENTURE,16.15,1.0,12,675,No,0
48,male,Bachelor,96060,19,MORTGAGE,14163,VENTURE,10.27,0.15,14,613,No,0
52,male,Bachelor,110580,17,OWN,24921,PERSONAL,17.68,0.23,8,753,Yes,0
56,male,Master,66958,28,OWN,46405,PERSONAL,16.33,0.69,15,794,No,0
29,female,Associate,78238,10,RENT,47873,VENTURE,15.97,0.61,4,679,No,0
58,female,Doctorate,144805,26,MORTGAGE,3409,MEDICAL,14.92,0.02,19,754,Yes,0
27,male,Bachelor,55604,9,RENT,37911,BUSINESS,14.63,0.68,14,835,No,0
48,male,High School,37849,8,RENT,34467,BUSINESS,12.73,0.91,20,802,Yes,0
49,female,Master,133389,9,OWN,2609,VENTURE,7.75,0.02,15,493,Yes,0
30,female,Bachelor,101932,7,RENT,35151,VENTURE,10.68,0.34,5,674,No,1
41,male,Bachelor,23713,22,RENT,2480,MEDICAL,14.28,0.1,23,534,Yes,0
54,male,Doctorate,53978,21,MORTGAGE,28942,VENTURE,9.28,0.54,14,772,Yes,0
32,female,Master,19652,11,MORTGAGE,13931,VENTURE,13.61,0.71,14,452,Yes,0
34,female,High School,163348,3,MORTGAGE,13252,MEDICAL,10.41,0.08,16,508,No,0
52,female,Doctorate,113879,25,MORTGAGE,8486,MEDICAL,10.72,0.07,16,766,Yes,0
40,male,Associate,94099,3,RENT,21013,PERSONAL,8.7,0.22,24,522,No,0
47,male,Doctorate,112587,13,RENT,32894,BUSINESS,12.95,0.29,22,538,Yes,0
52,female,Associate,61046,20,OWN,41593,PERSONAL,16.89,0.68,2,698,Yes,0
33,female,Doctorate,144497,15,OWN,45872,VENTURE,11.49,0.32,16,700,Yes,0
26,male,Associate,88569,0,OWN,15735,HOMEIMPROVEMENT,9.96,0.18,16,739,No,1
56,male,Doctorate,41938,17,MORTGAGE,25042,HOMEIMPROVEMENT,16.37,0.6,3,839,No,0
55,male,Master,38847,15,OWN,3112,VENTURE,9.65,0.08,4,674,Yes,0
36,male,Doctorate,103915,13,RENT,41380,EDUCATION,15.92,0.4,8,480,No,0
55,female,Doctorate,153234,10,OWN,47140,MEDICAL,9.97,0.31,10,713,Yes,0
29,female,High School,84698,10,RENT,46968,EDUCATION,9.5,0.55,24,614,Yes,0
46,female,Associate,163368,20,OWN,42144,VENTURE,11.0,0.26,4,774,Yes,0
46,female,Bachelor,131195,15,OWN,39139,PERSONAL,16.93,0.3,25,497,No,0
43,male,Doctorate,116258,6,OWN,14883,VENTURE,9.72,0.13,11,622,Yes,0
57,female,Bachelor,24690,2,RENT,42037,VENTURE,6.7,1.0,7,675,No,0
21,female,Associate,46580,2,RENT,18958,PERSONAL,14.36,0.41,10,492,No,0
31,male,Master,175998,4,MORTGAGE,46838,EDUCATION,11.65,0.27,4,810,Yes,0
21,male,Master,32431,1,MORTGAGE,15823,HOMEIMPROVEMENT,14.66,0.49,2,454,No,0
28,female,Associate,137226,1,RENT,26104,PERSONAL,15.27,0.19,5,502,No,0
44,female,Associate,112328,24,RENT,43046,BUSINESS,8.21,0.38,18,738,Yes,0
60,male,Master,104061,13,MORTGAGE,10920,VENTURE,13.89,0.1,16,561,Yes,0
27,male,High School,166553,6,OWN,29140,MEDICAL,15.99,0.17,9,591,Yes,0
36,female,High School,91075,6,MORTGAGE,40775,HOMEIMPROVEMENT,8.76,0.45,14,601,Yes,0
36,female,Master,41555,7,OWN,42817,HOMEIMPROVEMENT,7.35,1.0,2,634,No,0
29,female,Doctorate,122326,5,MORTGAGE,45757,EDUCATION,15.65,0.37,4,458,Yes,0
21,female,Associate,22440,0,OWN,34201,MEDICAL,14.04,1.0,18,842,No,0
48,female,High School,179913,17,MORTGAGE,41373,EDUCATION,9.83,0.23,11,490,Yes,0
30,female,Master,165730,10,MORTGAGE,45633,BUSINESS,7.29,0.28,24,673,Yes,0
24,male,High School,125897,0,OWN,41127,HOMEIMPROVEMENT,7.16,0.33,23,829,Yes,0
28,male,Associate,14975,2,OWN,23721,HOMEIMPROVEMENT,12.71,1.0,25,582,Yes,0
44,male,Bachelor,42947,24,RENT,22955,VENTURE,9.76,0.53,4,584,Yes,0
52,female,Doctorate,106404,3,OWN,38151,EDUCATION,10.91,0.36,10,845,Yes,0
57,male,Associate,145385,0,RENT,1805,EDUCATION,7.05,0.01,13,646,Yes,0
32,male,Doctorate,121935,3,OWN,17270,VENTURE,17.49,0.14,12,588,Yes,0
57,female,High School,143607,3,RENT,15626,HOMEIMPROVEMENT,18.28,0.11,14,485,No,0
39,female,Bachelor,34645,17,OWN,1522,MEDICAL,8.91,0.04,20,605,Yes,0
50,female,Doctorate,141331,12,MORTGAGE,36819,EDUCATION,8.31,0.26,15,462,Yes,0
55,female,High School,99822,0,MORTGAGE,25659,BUSINESS,15.23,0.26,5,555,Yes,0
47,female,High School,49322,22,OWN,7096,PERSONAL,17.56,0.14,18,661,No,1
50,male,Doctorate,37054,32,RENT,42760,VENTURE,7.4,1.0,20,481,No,0
29,male,Bachelor,80417,5,OWN,46922,BUSINESS,10.42,0.58,16,589,Yes,0
25,male,Associate,165277,1,RENT,7924,EDUCATION,11.89,0.05,12,658,Yes,0
55,female,Associate,130467,19,OWN,18367,PERSONAL,7.59,0.14,23,605,Yes,0
